Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Leeds United @ Burnley,EPL,Leeds United,2025-10-18 10:00:00,FanDuel,5.8,2025-10-18 10:36:51,2025-10-18 14:00:00,2025-10-18 14:36:51,2.36,145.55,Burnley
Newcastle United @ Brighton and Hove Albion,EPL,Newcastle United,2025-10-18 10:00:00,Caesars,3.0,2025-10-18 10:36:51,2025-10-18 14:00:00,2025-10-18 14:36:51,2.5,19.95,Brighton and Hove Albion
Bournemouth @ Crystal Palace,EPL,Bournemouth,2025-10-18 10:01:00,Caesars,2.0,2025-10-18 10:36:51,2025-10-18 14:01:00,2025-10-18 14:36:51,1.95,2.61,Draw
Arizona Wildcats @ Houston Cougars,NCAAF,Houston Cougars,2025-10-18 12:03:18,DraftKings,2.9,2025-10-18 12:10:43,2025-10-18 16:03:18,2025-10-18 16:10:43,2.15,34.99,Houston Cougars
Baylor Bears @ TCU Horned Frogs,NCAAF,Baylor Bears,2025-10-18 12:02:33,Caesars,2.95,2025-10-18 12:10:43,2025-10-18 16:02:33,2025-10-18 16:10:43,2.52,17.27,TCU Horned Frogs
Eastern Michigan Eagles @ Miami (OH) RedHawks,NCAAF,Eastern Michigan Eagles,2025-10-18 12:02:20,DraftKings,5.5,2025-10-18 12:10:43,2025-10-18 16:02:20,2025-10-18 16:10:43,4.72,16.49,Miami (OH) RedHawks
Central Michigan Chippewas @ Bowling Green Falcons,NCAAF,Central Michigan Chippewas,2025-10-18 12:03:09,Caesars,2.8,2025-10-18 12:10:43,2025-10-18 16:03:09,2025-10-18 16:10:43,2.45,14.23,Central Michigan Chippewas
UConn Huskies @ Boston College Eagles,NCAAF,UConn Huskies,2025-10-18 12:03:24,Fanatics,1.91,2025-10-18 12:10:43,2025-10-18 16:03:24,2025-10-18 16:10:43,1.83,4.49,UConn Huskies
LSU Tigers @ Vanderbilt Commodores,NCAAF,LSU Tigers,2025-10-18 12:07:41,Fanatics,2.65,2025-10-18 12:40:43,2025-10-18 16:07:41,2025-10-18 16:40:43,2.5,5.87,Vanderbilt Commodores
Washington Huskies @ Michigan Wolverines,NCAAF,Washington Huskies,2025-10-18 12:11:10,DraftKings,4.1,2025-10-18 13:07:33,2025-10-18 16:11:10,2025-10-18 17:07:33,3.08,33.18,Michigan Wolverines
Georgia Tech Yellow Jackets @ Duke Blue Devils,NCAAF,Duke Blue Devils,2025-10-18 12:10:28,FanDuel,2.58,2025-10-18 13:07:33,2025-10-18 16:10:28,2025-10-18 17:07:33,2.0,29.0,Georgia Tech Yellow Jackets
Arsenal @ Fulham,EPL,Fulham,2025-10-18 12:30:00,DraftKings,6.5,2025-10-18 13:07:33,2025-10-18 16:30:00,2025-10-18 17:07:33,5.66,14.77,Arsenal
West Virginia Mountaineers @ UCF Knights,NCAAF,West Virginia Mountaineers,2025-10-18 13:02:18,Fanatics,3.6,2025-10-18 13:07:33,2025-10-18 17:02:18,2025-10-18 17:07:33,3.15,14.36,UCF Knights
Kent State Golden Flashes @ Toledo Rockets,NCAAF,Kent State Golden Flashes,2025-10-18 14:00:00,DraftKings,17.0,2025-10-18 13:07:33,2025-10-18 18:00:00,2025-10-18 17:07:33,15.49,9.75,Toledo Rockets
Florida Panthers @ Buffalo Sabres,NHL,Florida Panthers,2025-10-18 13:08:28,BetMGM,2.45,2025-10-18 13:35:40,2025-10-18 17:08:28,2025-10-18 17:35:40,1.75,40.36,Buffalo Sabres
Army Black Knights @ Tulane Green Wave,NCAAF,Tulane Green Wave,2025-10-18 12:10:45,BetMGM,2.55,2025-10-18 14:12:22,2025-10-18 16:10:45,2025-10-18 18:12:22,1.35,89.49,Tulane Green Wave
Oklahoma Sooners @ South Carolina Gamecocks,NCAAF,South Carolina Gamecocks,2025-10-18 12:47:20,DraftKings,5.5,2025-10-18 14:43:03,2025-10-18 16:47:20,2025-10-18 18:43:03,5.09,8.02,Oklahoma Sooners
Troy Trojans @ UL Monroe Warhawks,NCAAF,UL Monroe Warhawks,2025-10-18 15:02:50,FanDuel,3.3,2025-10-18 15:07:10,2025-10-18 19:02:50,2025-10-18 19:07:10,2.77,19.14,Troy Trojans
Purdue Boilermakers @ Northwestern Wildcats,NCAAF,Purdue Boilermakers,2025-10-18 15:01:16,FanDuel,2.58,2025-10-18 15:07:10,2025-10-18 19:01:16,2025-10-18 19:07:10,2.52,2.56,Northwestern Wildcats
Michigan State Spartans @ Indiana Hoosiers,NCAAF,Michigan State Spartans,2025-10-18 15:30:00,Fanatics,19.0,2025-10-18 15:23:05,2025-10-18 19:30:00,2025-10-18 19:23:05,18.26,4.04,Indiana Hoosiers
Texas State Bobcats @ Marshall Thundering Herd,NCAAF,Marshall Thundering Herd,2025-10-18 15:33:02,FanDuel,3.35,2025-10-18 15:36:41,2025-10-18 19:33:02,2025-10-18 19:36:41,2.37,41.41,Marshall Thundering Herd
Northern Illinois Huskies @ Ohio Bobcats,NCAAF,Northern Illinois Huskies,2025-10-18 15:33:17,DraftKings,5.2,2025-10-18 15:36:41,2025-10-18 19:33:17,2025-10-18 19:36:41,4.34,19.71,Ohio Bobcats
