ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
8a70b2f5ecb25a5ea3655c91da1dc04a,basketball_ncaab,NCAAB,2026-03-03T01:46:03Z,2026-03-03T03:11:56Z,Lamar Cardinals @ Houston Christian Huskies,Lamar Cardinals,2026-03-03,Kalshi,7.14,6.69,0.07,2.0,Not Found
f2f30168914e7b87cb9c5d54c620059e,basketball_ncaab,NCAAB,2026-03-03T03:00:00Z,2026-03-03T03:11:56Z,Weber State Wildcats @ Portland St Vikings,Weber State Wildcats,2026-03-03,Kalshi,3.33,3.11,0.07,2.0,Not Found
ffe8c9d1467b0d5bacb2d4dad9af3fd5,icehockey_ahl,AHL,2026-03-03T16:37:00Z,2026-03-03T17:55:41Z,Chicago Wolves @ Milwaukee Admirals,Chicago Wolves,2026-03-03,Kalshi,1.52,1.39,0.09,2.0,Not Found
8cb488ee9e3297dbb91ddd0b40f666e5,icehockey_ahl,AHL,2026-03-03T18:30:00Z,2026-03-03T20:01:32Z,Colorado Eagles @ Bakersfield Condors,Bakersfield Condors,2026-03-03,Kalshi,1.19,1.16,0.03,2.0,Not Found
d558849331cb2c112e9cce7219e46efd,soccer_epl,EPL,2026-03-03T20:15:00Z,2026-03-03T20:45:02Z,Liverpool @ Wolverhampton Wanderers,Draw,2026-03-03,Kalshi,4.55,4.34,0.05,3.0,Not Found
0514ff63edc959b9fedb8a345a5417a6,soccer_epl,EPL,2026-03-03T19:30:00Z,2026-03-03T21:19:23Z,Brentford @ Bournemouth,Brentford,2026-03-03,Kalshi,14.29,13.42,0.06,3.0,Not Found
319d9f88e441478b1e640ddbc20619d6,basketball_ncaab,NCAAB,2026-03-03T23:05:43Z,2026-03-03T23:17:57Z,UMBC Retrievers @ NJIT Highlanders,NJIT Highlanders,2026-03-03,Kalshi,4.35,3.58,0.22,2.0,Not Found
451b82f69548237ff6144758d1753d97,basketball_ncaab,NCAAB,2026-03-03T23:04:30Z,2026-03-03T23:17:57Z,UMass Lowell River Hawks @ Maine Black Bears,Maine Black Bears,2026-03-03,Kalshi,2.13,2.07,0.03,2.0,Not Found
838dacb26dd13cbe51d6272eec77b9d7,basketball_ncaab,NCAAB,2026-03-03T23:05:12Z,2026-03-03T23:17:57Z,Bryant Bulldogs @ New Hampshire Wildcats,Bryant Bulldogs,2026-03-03,Kalshi,2.38,2.31,0.03,2.0,Not Found
22a27cfcc1c5cf3fe119a3938d9ad8cc,basketball_ncaab,NCAAB,2026-03-03T23:00:00Z,2026-03-03T23:45:51Z,Georgia St Panthers @ Louisiana Ragin' Cajuns,Louisiana Ragin' Cajuns,2026-03-03,Kalshi,2.17,2.04,0.06,2.0,Not Found
31b4f4c5030eabc378fd663de77b4f75,basketball_ncaab,NCAAB,2026-03-03T23:32:00Z,2026-03-03T23:45:51Z,Eastern Michigan Eagles @ Buffalo Bulls,Eastern Michigan Eagles,2026-03-03,Kalshi,3.85,3.75,0.03,2.0,Not Found
ac6197e1688d3b1bfb26d5a45368c8ef,basketball_ncaab,NCAAB,2026-03-03T23:03:00Z,2026-03-04T00:01:36Z,Tennessee Volunteers @ South Carolina Gamecocks,South Carolina Gamecocks,2026-03-03,Kalshi,20.0,18.06,0.11,2.0,Not Found
8b102dc0647e9c0cc3bc1621e410d157,basketball_ncaab,NCAAB,2026-03-04T00:00:00Z,2026-03-04T00:01:36Z,Georgetown Hoyas @ St. John's Red Storm,Georgetown Hoyas,2026-03-04,Kalshi,14.29,13.0,0.1,2.0,Not Found
6e039621e88bb0b022d5b0d3eafd9596,basketball_nba,NBA,2026-03-04T00:43:00Z,2026-03-04T02:47:46Z,New York Knicks @ Toronto Raptors,Toronto Raptors,2026-03-04,Kalshi,16.67,13.54,0.23,2.0,Not Found
201fe768ed992ff152aa893857b62517,basketball_ncaab,NCAAB,2026-03-04T02:00:00Z,2026-03-04T02:47:46Z,San Diego St Aztecs @ Boise State Broncos,San Diego St Aztecs,2026-03-04,Kalshi,5.88,5.23,0.12,2.0,Not Found
6178a340912ea77ebb5169a9c65f3ec7,basketball_nba,NBA,2026-03-04T01:10:00Z,2026-03-04T02:47:46Z,Oklahoma City Thunder @ Chicago Bulls,Chicago Bulls,2026-03-04,Kalshi,16.67,15.14,0.1,2.0,Not Found
d24cf2f3e7797900e7cb8f596361f5f4,basketball_ncaab,NCAAB,2026-03-04T01:00:00Z,2026-03-04T02:47:46Z,Southern Jaguars @ Alabama St Hornets,Southern Jaguars,2026-03-04,Kalshi,3.33,3.12,0.07,2.0,Not Found
4a0aa29804dd7d47a4a795740ae6d311,basketball_ncaab,NCAAB,2026-03-04T02:21:16Z,2026-03-04T02:47:46Z,Miss Valley St Delta Devils @ Alcorn St Braves,Miss Valley St Delta Devils,2026-03-04,Kalshi,6.67,6.34,0.05,2.0,Not Found
bcd0cf203e2b2065ea98a50de8ea6d7a,basketball_ncaab,NCAAB,2026-03-04T03:00:00Z,2026-03-04T02:47:46Z,Nevada Wolf Pack @ Wyoming Cowboys,Nevada Wolf Pack,2026-03-04,Kalshi,1.96,1.89,0.04,2.0,Not Found
